# Data structure:

# Name, ElementType, ConnectorClass, geometric data...

# All measures must be in millimeters

# Possible element types are:

# ExtShape =  Details of a Connector shape
# Terminal =  Details of a single terminal
# SnapLines = Details of a single SnapLines shape (old name: SupportLines is also supported
#             for backward compatibility with ver.0.3.5 and older)

# Additional preset types must be implemented in archCableConnector.py first

# Proposed naming convention for ConnectorClass:
# for Connector ElementType: repeated class from connectorpresets.csv
# for Terminal and SnapLines ElementType: Terminal or SnapLines accordingly

###########################################

# ExtShape ElementType
# Name,ExtShape,Class,Offset X,Offset Y,Offset Z,Rotation Yaw(Z),Rotation Pitch(Y), Rotation Roll(X)
DE-9_F,ExtShape,D-Sub,0.0,0.0,0.0,0.0,0.0,180.0

# Terminal ElementType
# Name,Terminal,Class,Offset X,Offset Y,Offset Z,Rotation Yaw(Z),Rotation Pitch(Y), Rotation Roll(X),NrOfConnections,Length,Spacing
CD,Terminal,Terminal,   5.54,-1.8,8.6,0.0,0.0,90.0,1,2.0,1.0
TXD,Terminal,Terminal,  2.77,-1.8,8.6,0.0,0.0,90.0,1,2.0,1.0
RXD,Terminal,Terminal,   0.0,-1.8,8.6,0.0,0.0,90.0,1,2.0,1.0
DTR,Terminal,Terminal, -2.77,-1.8,8.6,0.0,0.0,90.0,1,2.0,1.0
GND,Terminal,Terminal, -5.54,-1.8,8.6,0.0,0.0,90.0,1,2.0,1.0
DSR,Terminal,Terminal, 4.155, 1.8,8.6,0.0,0.0,90.0,1,2.0,1.0
CTS,Terminal,Terminal, 1.385, 1.8,8.6,0.0,0.0,90.0,1,2.0,1.0
RTS,Terminal,Terminal,-1.385, 1.8,8.6,0.0,0.0,90.0,1,2.0,1.0
RI,Terminal,Terminal, -4.155, 1.8,8.6,0.0,0.0,90.0,1,2.0,1.0

# SnapLines ElementType (old name: SupportLines is also supported)
# Name,SnapLines,Class,Offset X,Offset Y,Offset Z,Rotation Yaw(Z),Rotation Pitch(Y), Rotation Roll(X)
SnapLines001,SnapLines,SnapLines,0,0,25.0,0,0,0
