# Data structure:

# Name, ElementType, DeviceClass, geometric data...

# All measures must be in millimeters

# Possible element types are:

# ExtShape =  Details of a Device shape
# Terminal =  Details of a single terminal
# SnapLines = Details of a single SnapLines shape (old name: SupportLines is also supported
#             for backward compatibility with ver.0.3.5 and older)

# Additional element types must be implemented in archElectricalDevice.py first

# Proposed naming convention for DeviceClass:
# for ExtShape ElementType: repeated class from devicepresets.csv
# for Terminal and SnapLines ElementType: Terminal or SnapLines accordingly

###########################################

# ExtShape ElementType
# Name,ExtShape,Class,Offset X,Offset Y,Offset Z,Rotation Yaw(Z),Rotation Pitch(Y), Rotation Roll(X)
Dummy,ExtShape,Device,0.0,0.0,0.0,0.0,0.0,0.0

# Terminal ElementType
# Name,Terminal,Class,Offset X,Offset Y,Offset Z,Rotation Yaw(Z),Rotation Pitch(Y), Rotation Roll(X),NrOfConnections,Length,Spacing
Term001,Terminal,Terminal, -2.54,0.0,15.0,0.0,0.0,90.0,1,10.0,1.0
Term002,Terminal,Terminal,  2.54,0.0,15.0,0.0,0.0,90.0,1,10.0,1.0

# SnapLines ElementType (old name: SupportLines is also supported)
# Name,SnapLines,Class,Offset X,Offset Y,Offset Z,Rotation Yaw(Z),Rotation Pitch(Y), Rotation Roll(X)
SnapLines001,SnapLines,SnapLines,-10.0,0,5.0,0,90.0,0
SnapLines002,SnapLines,SnapLines, 10.0,0,5.0,0,90.0,0
